koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol
CONFIRMED,54.4183827,162.51384,0.586,4.507,874.8,2.83,443,9.11
FALSE POSITIVE,19.89913995,175.850252,0.969,1.7822,10829,14.6,638,39.3
FALSE POSITIVE,1.736952453,170.307565,1.276,2.40641,8079.2,33.46,1395,891.96
CONFIRMED,2.525591777,171.59555,0.701,1.6545,603.3,2.75,1406,926.16
CONFIRMED,4.13443512,172.97937,0.762,3.1402,686,2.77,1160,427.65
CONFIRMED,2.56658897,179.55437,0.755,2.429,226.5,1.59,1360,807.74
CONFIRMED,16.06864674,173.621937,0.052,3.5347,4914.3,5.76,600,30.75
CONFIRMED,2.470613377,122.763305,0.818,1.74319,14231,13.04,1339,761.46
CONFIRMED,2.204735417,121.3585417,0.224,3.88864,6674.7,16.1,2048,4148.92
CONFIRMED,3.522498429,121.1194228,0.631,3.19843,9145.7,14.59,1521,1264.67
CONFIRMED,3.709214104,133.98318,0.051,2.6302,131.1,1.16,1206,500.46
FALSE POSITIVE,11.52144606,170.839688,2.483,3.6399,17984,150.51,753,75.88
FALSE POSITIVE,19.22138894,184.5521637,1.065,4.79843,74284,49.29,698,55.97
FALSE POSITIVE,16.46983774,180.881761,0.292,9.4378,10479,7.94,595,29.61
CONFIRMED,9.27358173,173.258155,0.387,3.2875,1288.3,2.47,649,41.85
CONFIRMED,6.02930329,171.602959,0.258,1.5821,1912.7,2.85,678,50.04
FALSE POSITIVE,2.696370652,170.73769,0.044,3.6129,397.9,1.58,1066,305.34
CONFIRMED,3.94105221,136.08662,0.226,2.5984,363.3,1.7,1018,253.15
FALSE POSITIVE,386.6030528,166.342079,0.9765,6.8057,24927,41.5,297,1.84
CONFIRMED,21.67699193,171.53594,0.896,3.4555,857.2,2.95,530,18.64
CONFIRMED,4.99677968,171.74208,0.71,2.1717,934.7,2.78,917,166.95
CONFIRMED,4.280963604,171.89659,0.424,2.875,750.8,2.3,1012,247.87
FALSE POSITIVE,1.50635409,170.998064,0.86,1.5155,2211.7,4.53,1452,1054.12
FALSE POSITIVE,670.645531,209.04355,0.701,53.412,18091,14.14,196,0.35
FALSE POSITIVE,61.2563628,173.83826,1.248,7.633,5123.3,39.87,505,15.43
CONFIRMED,41.19725502,165.00404,0.045,4.6297,2213.9,3.86,439,8.76
